BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
030440000940,"ТОО ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
030440002799,"ТОО ""ҚАМҚОР ВАГОН""",33171,Ремонт подвижного состава железных дорог,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
031040000572,"АО ""ҚАЗТЕМІРТРАНС""",49200,Грузовой железнодорожный транспорт,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
031040001799,"АО ""ЛОКОМОТИВ""",52211,Эксплуатация железных дорог,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
031240004384,"АО ""ВОКЗАЛ-СЕРВИС""",68200,Аренда и эксплуатация собственной или арендуемой недвижимости,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
040240005450,"АО ""ВАГОНСЕРВИС""",33171,Ремонт подвижного состава железных дорог,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
040540000212,"АО ""ЦЕНТРКАЗЭНЕРГОМОНТАЖ""",41201,Строительство жилых зданий,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
041041008941,"РЕГИОНАЛЬНЫЙ ФИЛИАЛ ПО ПАССАЖИРСКИМ ПЕРЕВОЗКАМ ""СЕВЕРНЫЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""ПАССАЖИРСКИЕ ПЕРЕВОЗКИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
041140002633,"АО ""ЛОКОМОТИВНЫЙ СЕРВИСНЫЙ ЦЕНТР""",33171,Ремонт подвижного состава железных дорог,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
041140002811,"АО ""АСТАНА-ЭНЕРГИЯ""",35301,Производство тепловой энергии тепловыми сетями,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
050340011064,"АО ""СПЕЦИАЛИЗИРОВАННОЕ ОХРАННОЕ ПОДРАЗДЕЛЕНИЕ ""КҮЗЕТ""",80100,Деятельность частных охранных служб,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
050440004570,"Государственное Учреждение ""ПОЛК ПОЛИЦИИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН ПО ОХРАНЕ ПРАВИТЕЛЬСТВЕННЫХ УЧРЕЖДЕНИЙ""",84111,Деятельность республиканских органов управления,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
050840000334,"ТОО ""КОМПАНИЯ ""ЖОЛ ЖӨНДЕУШІ""",42110,Строительство дорог и автомагистралей,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
051040003263,"АО ""ӨРТ СӨНДІРУШІ""",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
051140002348,"ТОО ""МЕДИКЕР""",86210,Общая врачебная практика,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
060240003537,"АО ""АСТАНА-ЗЕЛЕНСТРОЙ""",81300,Деятельность по благоустройству; пейзажное планирование,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
060940004828,"ТОО ""СЕМСЕР-ӨРТ СӨНДІРУШІ""",80100,Деятельность частных охранных служб,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
061140007509,"АО ""НАЦИОНАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР МАТЕРИНСТВА И ДЕТСТВА""",86101,Деятельность больниц широкого профиля и специализированных больниц,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
070740004377,"АО ""КАЗАХСКИЙ АГРОТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ САКЕНА СЕЙФУЛЛИНА""",85420,Высшее образование,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
070740007153,"ТОО ""ҚАЗМҰНАЙГАЗ ӨНІМДЕРІ""",47300,Розничная торговля топливом в специализированных магазинах,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
071040011941,"Республиканское Государственное Казенное Предприятие ""ЦЕНТР СУДЕБНОЙ МЕДИЦИНЫ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",86900,Прочая деятельность по охране здоровья,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
080340021097,"Республиканское Государственное Казенное Предприятие ""ЦЕНТРАЛЬНЫЙ ШТАБ ПРОФЕССИОНАЛЬНЫХ ВОЕНИЗИРОВАННЫХ АВАРИЙНО-СПАСАТЕЛЬНЫХ СЛУЖБ"" КОМИТЕТА ПО ГОСУДАРСТВЕННОМУ КОНТРОЛЮ ЗА ЧРЕЗВЫЧАЙНЫМИ СИТУАЦИЯМИ И ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТЬЮ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
080540020707,"АВТОНОМНАЯ ОРГАНИЗАЦИЯ ОБРАЗОВАНИЯ ""НАЗАРБАЕВ ИНТЕЛЛЕКТУАЛЬНЫЕ ШКОЛЫ""",85310,Основное и общее среднее образование,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
080740017519,"Республиканское Государственное предприятие на праве хозяйственного ведения ""ЕҢБЕК"" ИСПРАВИТЕЛЬНЫХ УЧРЕЖДЕНИЙ КОМИТЕТА УГОЛОВНО-ИСПОЛНИТЕЛЬНОЙ СИСТЕМЫ МИНИСТЕРСТВА ЮСТИЦИИ РЕСПУБЛИКИ КАЗАХСТАН",84230,Деятельность в области юстиции и правосудия,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
080940008218,"АО ""МЕДИЦИНСКИЙ УНИВЕРСИТЕТ АСТАНА""",85420,Высшее образование,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
080940019334,"ТОО ""АСТАНА ТАЗАЛЫҚ""",81290,Прочие виды услуг по уборке,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
081040000046,"Государственное Учреждение ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДА АСТАНЫ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН""",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
091041017098,"ФИЛИАЛ ""АСТАНИНСКОЕ ЛОКОМОТИВОРЕМОНТНОЕ ДЕПО"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
100140000797,"АО ""ЖЕЛЕЗНОДОРОЖНЫЕ ГОСПИТАЛИ МЕДИЦИНЫ КАТАСТРОФ""",86210,Общая врачебная практика,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
101240008878,"Государственное Учреждение ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ НА ТРАНСПОРТЕ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",84240,Деятельность по обеспечению общественного порядка и безопасности,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
110740000364,"Республиканское Государственное предприятие на праве хозяйственного ведения ""КАЗВОДХОЗ"" КОМИТЕТА ПО ВОДНЫМ РЕСУРСАМ МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",01612,Эксплуатация оросительных систем,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
110941009767,"ФИЛИАЛ ""КАНАЛ ИМЕНИ КАНЫША САТПАЕВА"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗВОДХОЗ"" КОМИТЕТА ПО ВОДНЫМ РЕСУРСАМ МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",36000,"Сбор, обработка и распределение воды",711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
111240004906,"Республиканское Государственное предприятие на праве хозяйственного ведения ""ЦЕНТР ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ"" КОМИТЕТА ПО КОНТРОЛЮ АВТОМАТИЗАЦИИ ГОСУДАРСТВЕННЫХ УСЛУГ И КООРДИНАЦИИ ДЕЯТЕЛЬНОСТИ ЦЕНТРОВ ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН",84111,Деятельность республиканских органов управления,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
120940010747,"Республиканское Государственное предприятие на праве хозяйственного ведения ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ЗЕМЕЛЬНОГО КАДАСТРА"" КОМИТЕТА ПО УПРАВЛЕНИЮ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ МИНИСТЕРСТВА РЕГИОНАЛЬНОГО РАЗВИТИЯ РЕСПУБЛИКИ КАЗАХСТАН",71124,Землеустройство,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
130940015918,"Республиканское Государственное предприятие на праве хозяйственного ведения ""КАЗАЭРОНАВИГАЦИЯ"" МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН",52231,Регулирование использования воздушного пространства,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
880540000029,"Республиканское Государственное предприятие на праве хозяйственного ведения ""ЖАСЫЛ АЙМАК"" КОМИТЕТА ЛЕСНОГО И ОХОТНИЧЬЕГО ХОЗЯЙСТВА МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",02100,Лесоводство и прочая лесохозяйственная деятельность,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
920140000084,"АО ""ЦЕСНАБАНК""",64191,"Деятельность банков, вексельных контор",711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
920740000383,"Государственное Учреждение ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ ГОРОДА АСТАНЫ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
941140001504,"Государственное Учреждение ""КОМИТЕТ НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ РЕСПУБЛИКИ КАЗАХСТАН""",84111,Деятельность республиканских органов управления,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
941240000193,"АО ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
941240000311,"АО ""РЕСПУБЛИКАНСКАЯ ТЕЛЕРАДИОКОРПОРАЦИЯ ""КАЗАХСТАН""",60200,Деятельность по созданию и трансляции телевизионных программ,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
