BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
001040003175,"АО ""РУДНЫЙСОКОЛОВСТРОЙ""",41202,Строительство нежилых зданий,392410000,г. Рудный,311,Крупное предприятие (от 1001 чел.)
011241001321,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""Костанайское ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",33171,Ремонт подвижного состава железных дорог,391010000,г. Костанай,311,Крупная компания (от 1001 чел.)
011241003209,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""Костанайское ОТДЕЛЕНИЕ ДОРОГИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
030640002151,"ТОО ""ЭПК-FORFAIT"" (ЭПК-ФОРФАЙТ)",35120,Передача электроэнергии,391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
040341005787,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""АЛЮМИНИЙ КАЗАХСТАНА"" КРАСНООКТЯБРЬСКОЕ БОКСИТОВОЕ РУДОУПРАВЛЕНИЕ (КБРУ)",07291,Добыча и обогащение алюминий-содержащего сырья,392035100,п. ОКТЯБРЬСКИЙ,311,Крупное предприятие (от 1001 чел.)
040441006441,"ФИЛИАЛ АО ""АЛЮМИНИЙ КАЗАХСТАНА"" ТОРГАЙСКОЕ БОКСИТОВОЕ РУДОУПРАВЛЕНИЕ (ТБРУ)",07291,Добыча и обогащение алюминий-содержащего сырья,391610000,г. Аркалык,311,Крупное предприятие (от 1001 чел.)
050541006407,"ЛисаковскИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРКЕН""",07102,Добыча железной руды открытым способом,392010000,г. Лисаковск,311,Крупное предприятие (от 1001 чел.)
910540000047,"АО ""Костанайские Минералы""",08991,Добыча асбестовой руды,394420100,г. Житикара,311,Крупное предприятие (от 1001 чел.)
920240000127,"АО ""СОКОЛОВСКО-САРБАЙСКОЕ ГОРНО-ОБОГАТИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ""",07102,Добыча железной руды открытым способом,392410000,г. Рудный,311,Крупное предприятие (от 1001 чел.)
930940000055,"АО ""БАЯН СУЛУ""",10820,"Производство какао, шоколада и сахаристых кондитерских изделий",391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
940940000413,"ГОС. УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ Костанайской области МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
970741000566,"Костанайская ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИИ-ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61900,Другие виды телекоммуникационных услуг,391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
990140000384,"ТОО ""ИВОЛГА-ХОЛДИНГ""",46211,"Оптовая торговля зерном, семенами и кормами для животных",395459100,с. ЖАМБЫЛ,311,Крупное предприятие (от 1001 чел.)
990240005319,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""Костанайский ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ А.БАЙТУРСЫНОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
991141004820,"Костанайский ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,391010000,г. Костанай,311,Крупное предприятие (от 1001 чел.)
БИН,Наименование предприятия / организации,ОКЭД,Отрасль деятельности предприятия,КАТО,Населённый пункт,КРП,Размер предприятия / организации
000740001815,"ТОО ""АЛТЫН-ИНВЕСТ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",396830100,с. ФЕДОРОВКА,310,Крупная организация (501 - 1000 чел.)
000740003633,"ТОО ""АГРОТЕХМАШ""",28302,Производство сельскохозяйственных машин,391010000,г. Костанай,310,Крупная организация (501 - 1000 чел.)
001040000418,"ТОО ""АГРОФИРМА ""ДИЕВСКАЯ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",393635100,с. ДИЕВКА,310,Крупная организация (501 - 1000 чел.)
001040002266,"ТОО ""АЛЮМИНСТРОЙ""",41202,Строительство нежилых зданий,391610000,г. Аркалык,310,Крупная организация (501 - 1000 чел.)
001140001496,"ТОО ""БЕЛЯЕВКА""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",393230200,с. СИЛАНТЬЕВКА,310,Крупная организация (501 - 1000 чел.)
