BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
081040003050,"ГОС. УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,511013100,"Шымкент, Аль-Фарабийский район",311,Крупнейшее предприятие (от 1001 чел.)
081041016345,"ШЫМКЕНТСКИЙ ФИЛИАЛ №2 АКЦИОНЕРНОГО ОБЩЕСТВА ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,515257100,С.КАРАСУ,311,Крупнейшее предприятие (от 1001 чел.)
090940018030,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""МАКТААРАЛЬСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА ""ЖЕТЫСАЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,514453600,С.ЫНТЫМАК,311,Крупнейшее предприятие (от 1001 чел.)
091040002074,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САЙРАМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,515230100,С.АКСУ,311,Крупнейшее предприятие (от 1001 чел.)
091040002460,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЯ ""ОРДАБАСИНСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",86900,Прочая деятельность по охране здоровья,514630100,С.ТЕМИРЛАНОВКА,311,Крупнейшее предприятие (от 1001 чел.)
091040002956,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КАЗЫГУРТСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТЫ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,514030100,С.КАЗЫГУРТ,311,Крупнейшее предприятие (от 1001 чел.)
091040005069,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САЙРАМСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА ""АКСУКЕНТ"" УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,515230100,С.АКСУ,311,Крупнейшее предприятие (от 1001 чел.)
091040006700,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ТЮЛЬКУБАССКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,516030100,С.ИМ.ТУРАРА РЫСКУЛОВА,311,Крупнейшее предприятие (от 1001 чел.)
091040010342,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САРЫАГАШСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,515420100,Г.САРЫАГАШ,311,Крупнейшее предприятие (от 1001 чел.)
091040010382,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САРЫАГАШСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА ""АБАЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,515433100,С.АБАЙ,311,Крупные предприятия
