BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАРАЗКОЖОБУВЬ""",990740013823,15113,Выделка и окрашивание меха,311010000,Жамбылская область Г. ТАРАЗ,305,Крупные предприятия (от 251 до 500 чел.)
Наименование компании,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Количество работников в организации
"АКЦИОНЕРНОЕ ОБЩЕСТВО "" ЖЕТIСУ""",971040000548,15200,Производство обуви,751710000,г. Алматы Медеуский район,225,Средние предприятия (от 201 до 250 чел.)
"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕМИПАЛАТИНСКАЯ ОБУВНАЯ ФАБРИКА""",20640004572,15200,Производство обуви,632810000,Восточно-Казахстанская область Г. СЕМЕЙ,225,Средние предприятия (от 201 до 250 чел.)
