BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
951140000151,"АО ""АТФБАНК""",64191,"Деятельность банков, вексельных контор",751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
960340000405,"АО"" KAZTRANSCOM""",61900,Другие виды телекоммуникационных услуг,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
960440000548,"АО ""АЗИМУТ ЭНЕРДЖИ СЕРВИСЕЗ""",71123,Геодезическая служба,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
960440001050,"ТОО ""САТ-СЕНТРАЛ АЗИЯ ТРЕЙДИНГ""",46909,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
960540000690,"РЕСПУБЛИКАНСКОЕ ИСЛАМСКОЕ РЕЛИГИОЗНОЕ ОБЪЕДИНЕНИЕ ""ДУХОВНОЕ УПРАВЛЕНИЕ МУСУЛЬМАН КАЗАХСТАНА""",94910,Деятельность религиозных организаций,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
960840000483,"АО ""АЛАТАУ ЖАРЫҚ КОМПАНИЯСЫ""",35111,Производство электроэнергии тепловыми электростанциями,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
960840000512,"ТОО ""ГЛОБУС""",80200,Деятельность в области систем охраны,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
960941000145,"АЛМАТИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ № 139900 АКЦИОНЕРНОГО ОБЩЕСТВА ""НАРОДНЫЙ СБЕРЕГАТЕЛЬНЫЙ БАНК КАЗАХСТАНА""",64192,Деятельность сберегательных банков,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
970140000241,"АО ""БТА БАНК""",64191,"Деятельность банков, вексельных контор",751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
970340000219,"ТОО ""СЛУЖБА БЕЗОПАСНОСТИ ""САМАЙ""",80100,Деятельность частных охранных служб,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
970340000566,"АО ""МЕХСТРОЙСЕРВИС""",41201,Строительство жилых зданий,751310000,"г. Алматы, АУЭЗОВСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
970340000625,"ТОО ""ХЛЕБОБАРАНОЧНЫЙ КОМБИНАТ ""АКСАЙ""",10710,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных",751310000,"г. Алматы, АУЭЗОВСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
970340003471,"УЧРЕЖДЕНИЕ ""ИСПОЛНИТЕЛЬНАЯ ДИРЕКЦИЯ СОВЕТА ПО ОРГАНИЗАЦИИ И ПРОВЕДЕНИЮ НАЦИОНАЛЬНОЙ ЛОТЕРЕИ В РЕСПУБЛИКЕ КАЗАХСТАН""",92000,Деятельность по организации азартных игр и заключению пари,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
970941000711,"ГОРОДСКОЙ ЦЕНТР ТЕЛЕКОММУНИКАЦИЙ ""АЛМАТЫТЕЛЕКОМ"" - Филиал АО ""КАЗАХТЕЛЕКОМ""",61200,Беспроводная телекоммуникационная связь,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
971240001315,"АО ""KASPI BANK""",64191,"Деятельность банков, вексельных контор",751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
971240002115,"АО ""ЕДИНЫЙ НАКОПИТЕЛЬНЫЙ ПЕНСИОННЫЙ ФОНД""",65301,Государственное пенсионное обеспечение,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
980140001422,"АО ""НАКОПИТЕЛЬНЫЙ ПЕНСИОННЫЙ ФОНД НАРОДНОГО БАНКА КАЗАХСТАНА"", ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ АО НАРОДНЫЙ БАНК КАЗАХСТАНА""",65302,Негосударственное пенсионное обеспечение,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
