BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ТОО ""ALPAINT""",151240014831,20301,"Производство красок, лаков и аналогичных красящих веществ, типографской краски и мастики",751510000,г. Алматы ЖЕТЫСУСКИЙ РАЙОН,310,Крупные предприятия (от 501 до 1000 чел.)
Наименование предприятия,БИН,ОКЭД,Вид деятельности компании,КАТО,Населённый пункт,КРП,Количество работников в организации
"АО ""ОРИКА-КАЗАХСТАН""",640003818,20511,Производство взрывчатых веществ,634061100,Восточно-Казахстанская область С. ОПЫТНОЕ ПОЛЕ,225,Средние предприятия (от 201 до 250 чел.)
"ТОО ""HIGH INDUSTRIAL LUBRICANTS & LIQUIDS CORPORATION"" (HILL)""",50940002443,20599,Производство других химических продуктов,511015100,Южно-Казахстанская область ЕНБЕКШИНСКИЙ РАЙОН,225,Средние предприятия (от 201 до 250 чел.)
