BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"Республиканское государственное предприятие на праве хозяйственного ведения ""Жасыл аймак"" комитета лесного хозяйства и животного мира министерства сельского хозяйства республики Казахстан",880540000029,02100,Лесоводство и прочая лесохозяйственная деятельность,711210000,"г. Астана район ""Есиль""",311,Крупные предприятия (от 1001 чел. до )
"Товарищество с ограниченной ответственностью ""Астана орманы""",050340001542,02400,Предоставление услуг в области лесного хозяйства (лесоводства и лесозаготовок),711210000,"г. Астана РАЙОН ""ЕСИЛЬ""",310,Крупные предприятия (от 501 до1000 чел.)
"Филиал акционерного общества ""национальная компания ""Казақстан темір жолы"" -""Астанинская дистанция защитных лесонасаждений""",120141020215,02100,Лесоводство и прочая лесохозяйственная деятельность,711110000,"г. Астана РАЙОН ""АЛМАТЫ""",225,Средние предприятия (от 201 до 250 чел.)
"Республиканское государственное казенное предприятие ""Казахская база авиационной охраны лесов и обслуживания лесного хозяйства"" комитета лесного хозяйства и животного мира министерства сельского хозяйства республики Казахстан",920340000686,02400,Предоставление услуг в области лесного хозяйства (лесоводства и лесозаготовок),751710000,г. Алматы МЕДЕУСКИЙ РАЙОН,225,Средние предприятия (от 201 до 250 чел.)
