140340008033,"ТОО ""INKAR RESOURCES""",08112,"Добыча известняка, гипса и мела",751710000,г. Алматы Медеуский район,225,Средние предприятия (от 201 до 250 чел.)
070940008555,"ТОО ""KUN RENEWABLES"" (КУН РЕНЬЮБЛС)",08111,Добыча декоративного и строительного камня,751410000,г. Алматы Бостандыкский район,225,Средние предприятия (от 201 до 250 чел.)
010240006007,"ТОО ""ЖАРТАС-СН""",08112,"Добыча известняка, гипса и мела",194255200,Алматинская область С. ТАНБАЛЫТАС,225,Средние предприятия (от 201 до 250 чел.)
150141002311,"ФИЛИАЛ ТОО ""ЮРТ-СЕ ИНШААТ ТААХХЮТ БЕТОН САНАЙИ НАКЛИЯТ МАДЕНДЖИЛИК ВЕ ТИДЖАРЕТ ЛИМИТЕД ШИРКЕТИ""",08111,Добыча декоративного и строительного камня,194041100,Алматинская область С. БОЛЕК,220,Средние предприятия (от 151 до 200 чел.)
051141006594,"ФИЛИАЛ АО ""СОКОЛОВСКО-САРБАЙСКОЕ ГОРНО-ОБОГАТИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ"" - ""АЛЕКСЕЕВСКИЙ ДОЛОМИТОВЫЙ РУДНИК""",08112,"Добыча известняка, гипса и мела",115635100,Акмолинская область П. АЛЕКСЕЕВКА,220,Средние предприятия (от 151 до 200 чел.)
050840002003,"ТОО ""ОЗЕНТАС""",08111,Добыча декоративного и строительного камня,196255300,Алматинская область С. АКТАС,220,Средние предприятия (от 151 до 200 чел.)
050340006107,"ТОО ""ТЕМИРТАС-1""",08111,Добыча декоративного и строительного камня,471810000,Мангистауская область Г. ЖАНАОЗЕН,220,Средние предприятия (от 151 до 200 чел.)
990540000041,"АО ""КОКТАС-АКТОБЕ""",08121,Разработка гравийных и песчаных карьеров,151010000,Актюбинская область Г. АКТОБЕ,311,Крупные компании (от 1001 чел. )
030340003832,"ТОО ""АҚ-ЖОЛ""",08121,Разработка гравийных и песчаных карьеров,711210000,"г. Астана район ""Есиль""",311,Крупные компании (от 1001 чел. )
000740001716,"ТОО ""АРКАДА ИНДАСТРИ""",08121,Разработка гравийных и песчаных карьеров,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,305,Крупные компании (от 251 до 500 чел.)
